subdet,layer,waferu,waferv,tc_eta,tc_phi
1,3,1,-1,3.0086296,-2.6164548
1,3,1,2,3.0076337,1.5710671
1,3,1,3,2.6918833,1.381354
1,3,1,4,2.38827,1.2883482
1,3,1,5,2.1562746,1.2363726
1,3,1,6,1.9647969,1.2043227
1,3,1,7,1.814013,1.1764338
1,3,1,8,1.6757773,1.1653836
1,3,1,9,1.5647446,1.1470412
1,3,2,-7,1.5966448,-2.3097904
1,3,2,-6,1.7190129,-2.334593
1,3,2,-5,1.8522444,-2.3754597
1,3,2,-4,2.0204873,-2.425947
1,3,2,-3,2.2045023,-2.5010023
1,3,2,-2,2.4297488,-2.6174142
1,3,2,-1,2.6928074,-2.8071485
1,3,2,0,2.944915,0.014819718
1,3,2,1,3.0180445,2.6187222
1,3,2,2,2.946419,2.0920434
1,3,2,3,2.6915414,1.761247
1,3,2,4,2.427918,1.5688827
1,3,2,5,2.2057579,1.4510015
1,3,2,6,2.0149584,1.3857882
1,3,2,7,1.8564762,1.325664
1,3,2,8,1.7173886,1.2885641
1,3,2,9,1.5943666,1.2550642
1,3,3,-7,1.5411892,-2.394283
1,3,3,-6,1.6299827,-2.4318345
1,3,3,-5,1.7494501,-2.4679153
1,3,3,-4,1.8805976,-2.5364172
1,3,3,-3,2.0334399,-2.6180713
1,3,3,-2,2.2040734,-2.7353523
1,3,3,-1,2.3884838,-2.8973951
1,3,3,0,2.5690553,0.01330828
1,3,3,1,2.6913624,2.8080738
1,3,3,2,2.6921616,2.42785
1,3,3,3,2.5692446,2.0941432
1,3,3,4,2.3906474,1.8548778
1,3,3,5,2.2034488,1.6847956
1,3,3,6,2.0315318,1.5641309
1,3,3,7,1.8847891,1.487538
1,3,3,8,1.74355,1.428901
1,3,3,9,1.6284268,1.3809038
1,3,3,10,1.5317308,1.3501605
1,3,4,-6,1.5440862,-2.5009053
1,3,4,-5,1.6460978,-2.5549293
1,3,4,-4,1.759254,-2.6240318
1,3,4,-3,1.884674,-2.6978202
1,3,4,-2,2.0189404,-2.8107789
1,3,4,-1,2.1567261,-2.9533713
1,3,4,0,2.28588,0.008327669
1,3,4,1,2.389327,2.8986986
1,3,4,2,2.429539,2.617325
1,3,4,3,2.3892708,2.3349261
1,3,4,4,2.2899942,2.097797
1,3,4,5,2.1562982,1.9047683
1,3,4,6,2.015456,1.7628788
1,3,4,7,1.8790691,1.6524664
1,3,4,8,1.7578043,1.5702566
1,3,4,9,1.6479502,1.5072433
1,3,4,10,1.5488746,1.4605418
1,3,5,-5,1.5567541,-2.6209745
1,3,5,-4,1.6441056,-2.6821988
1,3,5,-3,1.7432526,-2.7644012
1,3,5,-2,1.8569711,-2.8617656
1,3,5,-1,1.9663043,-2.9913986
1,3,5,0,2.0728743,0.06897085
1,3,5,1,2.1551182,2.9515834
1,3,5,2,2.203222,2.7316911
1,3,5,3,2.2024376,2.5048895
1,3,5,4,2.154698,2.2829993
1,3,5,5,2.0690973,2.1000247
1,3,5,6,1.9629905,1.9387225
1,3,5,7,1.8552917,1.8141196
1,3,5,8,1.7497948,1.7096953
1,3,5,9,1.6435046,1.63136
1,3,5,10,1.5520848,1.5716633
1,3,6,-4,1.5459821,-2.725869
1,3,6,-3,1.6338443,-2.8012245
1,3,6,-2,1.7214806,-2.8916268
1,3,6,-1,1.8056165,-3.006065
1,3,6,0,1.8901973,0.23515227
1,3,6,1,1.9680983,2.9835415
1,3,6,2,2.0154698,2.809442
1,3,6,3,2.0298362,2.6154966
1,3,6,4,2.0178757,2.4335597
1,3,6,5,1.9636525,2.2452414
1,3,6,6,1.8949788,2.0951314
1,3,6,7,1.807223,1.9669029
1,3,6,8,1.715563,1.8520967
1,3,6,9,1.6306629,1.7604623
1,3,6,10,1.5485177,1.6903667
1,3,7,-3,1.5361725,-2.8453662
1,3,7,-2,1.6004932,-2.9276724
1,3,7,-1,1.6835151,-3.0263968
1,3,7,0,1.7519364,-0.2048518
1,3,7,1,1.8071625,3.0084817
1,3,7,2,1.8592972,2.8577902
1,3,7,3,1.880376,2.7050278
1,3,7,4,1.8764851,2.533429
1,3,7,5,1.8510501,2.3757315
1,3,7,6,1.812533,2.2280533
1,3,7,7,1.7491579,2.097359
1,3,7,8,1.6790974,1.9870334
1,3,7,9,1.6052248,1.8806046
1,3,7,10,1.5373709,1.7975864
1,3,8,-1,1.5623071,-3.0392194
1,3,8,0,1.6207029,-0.42506474
1,3,8,1,1.6781408,3.0307317
1,3,8,2,1.721089,2.8981595
1,3,8,3,1.7451694,2.7623756
1,3,8,4,1.7551636,2.6174023
1,3,8,5,1.750528,2.4755394
1,3,8,6,1.7161535,2.3407893
1,3,8,7,1.6774726,2.2125638
1,3,8,8,1.6271325,2.091492
1,3,8,9,1.5644405,1.9907348
1,3,9,1,1.5594815,3.0420918
1,3,9,2,1.6063778,2.9293568
1,3,9,3,1.6319404,2.8100243
1,3,9,4,1.6434412,2.6842003
1,3,9,5,1.6444615,2.5490994
1,3,9,6,1.6284907,2.4254196
1,3,9,7,1.6027008,2.3067486
1,3,9,8,1.5717163,2.1990824
